"나박김치
            ",http://allrecipes.kr/recipe/136/----.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/56aece86-b852-4d95-b43c-f915966523b6.jpg,"배추,소금(천연소금),물,생강,양파,설탕* (안넣으셔도 됩니다.),찹쌀가루,고춧가루,마늘,배,파","쌀,밥,떡,곡물"
"할라피뇨 브레드 II
            ",http://allrecipes.kr/recipe/1301/---------ii.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/a6819721-ef5a-4545-8e86-1efe7511b07f.jpg,"따뜻한물 (45도),소금,설탕,샤프 체다치즈 다진것,다진 할라피뇨,제빵용 밀가루,액티브 드라이 이스트","빵,파이,과자,빵,밀가루"
"베트남 샌드위치 (퓨전)
            ",http://allrecipes.kr/recipe/1353/-------------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/5c1dc661-4b9e-404b-a074-58590e355b1a.jpg,"돼지고기 (작은 스테이크컷),마요네즈,갓 짠 라임즙,채썬 오이,소금과 후추,프렌치 바게뜨,갈릭칠리소스 (또는 고추장),적양파 (작은것),다진 고수","돼지고기,빵,밀가루,쌈,버거,샌드위치"
"달콤한 고구마 파운드케이크
            ",http://allrecipes.kr/recipe/404/--------------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/2ce78037-7f75-46c4-95ee-b62c6fa91eb0.jpg,"박력분,베이킹파우더,버터,설탕,달걀 (계란),고구마","빵,파이,과자,빵,밀가루"
"행복가득 당근머핀
            ",http://allrecipes.kr/recipe/714/---------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/ca7f60e2-c391-41b9-9c20-fd0254e306a5.jpg,"건포도,다목적 밀가루,베이킹소다,시나몬가루,식용유,흑설탕,따뜻한물,베이킹파우더,소금,계란,애플소스,다진 당근","빵,파이,과자,빵,밀가루"
"부드러운 히레가스.. ^^
            ",http://allrecipes.kr/recipe/1534/--------------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/b4c49c7d-353c-4b6a-b400-4233ad885ef9.jpg,"돼지고기(안심),밀가루,달걀,후춧가루,깨,식용유,빵가루,고운소금,돈가스소스,검은깨","돼지고기,빵,밀가루"
"맥주빵
            ",http://allrecipes.kr/recipe/1202/---.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/4f4f520b-c121-4a34-af5e-47f60b837185.jpg,"제빵용 밀가루,꿀,소금,마가린,흑맥주,액티브 드라이 이스트,시나몬가루,녹인버터","빵,파이,과자,빵,밀가루"
"달콤한 파인애플 닭꼬치
            ",http://allrecipes.kr/recipe/1125/------------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/a3722438-22de-4a8b-be8a-7a1b524e9720.jpg,"파인애플쥬스,흑설탕,간장,닭가슴살",닭고기
"건강을 챙기는 들깨 버섯찌개
            ",http://allrecipes.kr/recipe/1398/---------------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/45ce30db-7ab8-4bed-9434-4cce0d2fe1d8.jpg,"물,건새우 (작은것),각종 버섯,양파,고추,마른 멸치 (중간크기),다시마 (10cm*10cm),당근,작은 배추잎,대파","찌개,전골,스튜"
"야채 두부탕
            ",http://allrecipes.kr/recipe/272/------.aspx,http://krcdn.ar-cdn.com/recipes/xlarge/default.jpg,"두부,표고버섯,청경채,대파,생강,물,소금,조미료,육수,죽순,당근,마늘,청주,간장,참기름","찌개,전골,스튜,국,스프"
